,time,mid_price,spread,bid0,b_s0,ask0,a_s0,bid1,b_s1,ask1,a_s1,bid2,b_s2,ask2,a_s2,bid3,b_s3,ask3,a_s3,bid4,b_s4,ask4,a_s4,bid5,b_s5,ask5,a_s5,bid6,b_s6,ask6,a_s6,bid7,b_s7,ask7,a_s7,bid8,b_s8,ask8,a_s8,bid9,b_s9,ask9,a_s9,bid10,b_s10,ask10,a_s10,bid11,b_s11,ask11,a_s11,bid12,b_s12,ask12,a_s12,bid13,b_s13,ask13,a_s13,bid14,b_s14,ask14,a_s14,bid15,b_s15,ask15,a_s15,bid16,b_s16,ask16,a_s16,bid17,b_s17,ask17,a_s17,bid18,b_s18,ask18,a_s18,bid19,b_s19,ask19,a_s19
0,2024-05-07 01:09:44.604,63345.850000000006,0.09999999999854481,63345.8,2.208,63345.9,3.112,63344.2,0.55,63346.0,0.223,63344.0,0.162,63346.5,0.002,63343.8,0.063,63346.8,0.101,63343.2,0.1,63347.0,0.085,63342.8,0.063,63347.6,0.071,63342.3,0.002,63347.7,0.002,63342.2,0.176,63347.9,0.026,63342.0,0.162,63348.0,0.164,63341.8,0.15,63348.1,0.547,63341.6,0.476,63348.6,0.063,63341.5,0.11,63348.8,0.14,63341.2,0.063,63348.9,0.002,63341.1,0.1,63349.2,0.092,63340.7,0.395,63349.7,2.383,63340.6,0.063,63349.8,0.014,63340.4,0.023,63350.0,0.164,63340.1,0.253,63350.2,0.063,63340.0,0.167,63350.3,0.002,63339.9,0.019,63350.8,0.063
1,2024-05-07 01:09:45.941,63345.850000000006,0.09999999999854481,63345.8,2.2,63345.9,3.035,63345.4,0.063,63346.0,0.223,63344.4,0.063,63346.5,0.002,63344.2,0.65,63346.8,0.097,63344.0,0.162,63347.0,0.085,63343.8,0.063,63347.6,0.071,63343.2,0.1,63347.7,0.002,63342.8,0.063,63347.9,0.026,63342.3,0.002,63348.0,0.164,63342.2,0.176,63348.1,0.547,63342.0,0.176,63348.6,0.063,63341.8,0.15,63348.8,0.14,63341.6,0.476,63348.9,0.002,63341.5,0.11,63349.1,2.373,63341.2,0.063,63349.2,0.092,63341.1,0.1,63349.6,0.031,63340.7,0.493,63349.7,0.012,63340.6,0.063,63349.8,0.014,63340.4,0.023,63350.0,0.164,63340.1,0.253,63350.2,0.063
2,2024-05-07 01:09:47.261,63345.850000000006,0.09999999999854481,63345.8,3.701,63345.9,2.624,63345.4,0.063,63346.0,0.223,63344.4,0.063,63346.5,0.002,63344.2,0.65,63346.8,0.097,63344.0,0.162,63347.0,0.063,63343.8,0.063,63347.3,0.023,63343.7,0.042,63347.6,0.071,63343.2,0.1,63347.7,0.002,63342.8,0.063,63347.9,0.026,63342.7,0.098,63348.0,0.164,63342.3,0.002,63348.1,0.147,63342.2,0.176,63348.6,0.063,63342.0,0.176,63348.8,0.14,63341.8,0.15,63348.9,0.002,63341.6,0.476,63349.2,0.092,63341.2,0.063,63349.7,0.012,63341.1,0.1,63349.8,0.014,63340.7,0.395,63350.0,0.164,63340.6,0.063,63350.2,0.265,63340.4,0.023,63350.3,0.002
3,2024-05-07 01:09:48.560,63345.850000000006,0.09999999999854481,63345.8,4.068,63345.9,0.889,63345.4,0.063,63346.0,0.063,63344.4,0.063,63346.5,0.002,63344.2,0.65,63346.8,0.097,63344.0,0.162,63347.0,0.063,63343.8,0.063,63347.3,0.023,63343.7,0.042,63347.6,0.071,63343.2,0.1,63347.7,0.002,63342.8,0.063,63347.9,0.026,63342.7,0.098,63348.0,0.004,63342.3,0.002,63348.1,0.147,63342.2,0.176,63348.6,0.063,63342.0,0.176,63348.8,0.14,63341.8,0.15,63348.9,0.002,63341.6,0.476,63349.2,0.092,63341.2,0.063,63349.7,0.012,63341.1,0.1,63349.8,0.014,63340.7,0.15,63350.0,0.164,63340.6,0.063,63350.1,2.372,63340.4,0.023,63350.2,0.063
4,2024-05-07 01:09:49.864,63345.850000000006,0.09999999999854481,63345.8,2.925,63345.9,1.601,63345.4,0.063,63346.0,0.223,63344.5,0.337,63346.5,0.002,63344.4,0.063,63346.8,0.089,63344.2,0.65,63347.0,0.063,63344.0,0.162,63347.3,0.023,63343.8,0.063,63347.5,0.936,63343.7,0.042,63347.6,0.071,63343.2,0.1,63347.7,0.002,63342.9,0.129,63347.9,0.026,63342.8,0.063,63348.0,0.164,63342.3,0.002,63348.1,0.147,63342.2,0.176,63348.5,2.375,63342.0,0.176,63348.6,0.063,63341.8,0.15,63348.8,0.14,63341.6,0.476,63348.9,0.002,63341.2,0.063,63349.2,0.092,63341.1,0.1,63349.7,0.012,63340.7,0.15,63349.8,0.014,63340.6,0.063,63350.0,0.164
5,2024-05-07 01:09:51.170,63345.850000000006,0.09999999999854481,63345.8,2.826,63345.9,1.683,63345.4,0.063,63346.0,0.063,63344.5,0.337,63346.5,0.002,63344.4,0.063,63346.8,0.008,63344.2,0.65,63347.0,0.063,63344.0,0.162,63347.3,0.023,63343.8,0.063,63347.5,0.203,63343.7,0.042,63347.6,0.071,63343.2,0.1,63347.7,0.002,63342.9,0.129,63347.9,0.026,63342.8,0.063,63348.0,0.164,63342.3,0.002,63348.1,0.147,63342.2,0.176,63348.6,0.063,63342.1,0.472,63348.8,0.14,63342.0,0.162,63348.9,0.002,63341.9,0.015,63349.2,0.092,63341.8,0.15,63349.7,0.012,63341.6,0.476,63349.8,0.014,63341.3,0.044,63350.0,0.164,63341.2,0.075,63350.2,0.063
6,2024-05-07 01:09:52.493,63345.850000000006,0.09999999999854481,63345.8,2.714,63345.9,2.006,63345.4,0.063,63346.0,0.223,63344.5,0.337,63346.5,0.002,63344.4,0.063,63346.8,0.002,63344.2,0.65,63347.0,0.063,63344.0,0.162,63347.3,0.023,63343.8,0.063,63347.5,0.937,63343.7,0.042,63347.6,0.071,63343.2,0.1,63347.7,0.002,63342.9,0.129,63347.9,0.026,63342.8,0.063,63348.0,0.164,63342.3,0.002,63348.1,0.147,63342.2,0.176,63348.6,2.441,63342.1,0.072,63348.8,0.14,63342.0,0.162,63348.9,0.002,63341.9,0.015,63349.2,0.092,63341.8,0.15,63349.7,0.012,63341.6,0.476,63349.8,0.014,63341.3,0.044,63350.0,0.164,63341.2,0.075,63350.2,0.063
7,2024-05-07 01:09:53.799,63345.850000000006,0.09999999999854481,63345.8,2.197,63345.9,2.311,63345.4,0.063,63346.0,0.223,63344.5,0.337,63346.5,0.002,63344.4,0.063,63346.8,0.002,63344.2,0.65,63347.0,0.063,63344.0,0.162,63347.3,0.023,63343.8,0.063,63347.6,0.071,63343.7,0.042,63347.7,0.002,63343.2,0.1,63347.9,0.026,63342.9,0.129,63348.0,0.164,63342.8,0.063,63348.1,0.147,63342.3,0.002,63348.6,0.063,63342.2,0.176,63348.7,0.914,63342.1,0.072,63348.8,2.519,63342.0,0.162,63348.9,0.002,63341.9,0.015,63349.2,0.092,63341.8,0.15,63349.7,0.012,63341.6,0.476,63349.8,0.014,63341.3,0.044,63350.0,0.164,63341.2,0.075,63350.2,0.063
8,2024-05-07 01:09:55.108,63345.850000000006,0.09999999999854481,63345.8,1.951,63345.9,2.377,63345.4,0.063,63346.0,0.223,63344.5,0.337,63346.5,0.002,63344.4,0.063,63346.8,0.002,63344.2,0.65,63347.0,0.063,63344.0,0.162,63347.3,0.023,63343.8,0.063,63347.6,0.071,63343.7,0.042,63347.7,0.002,63343.2,0.1,63347.9,0.026,63342.9,0.129,63348.0,0.164,63342.8,0.063,63348.1,0.147,63342.3,0.002,63348.6,0.063,63342.2,0.176,63348.7,1.314,63342.1,0.072,63348.8,2.519,63342.0,0.162,63348.9,0.002,63341.9,0.015,63349.2,0.092,63341.8,0.15,63349.7,0.012,63341.6,0.476,63349.8,0.014,63341.3,0.044,63350.0,0.164,63341.2,0.075,63350.2,0.063
9,2024-05-07 01:09:56.401,63330.05,0.09999999999854481,63330.0,0.658,63330.1,7.293,63329.9,0.002,63330.2,0.534,63329.7,0.002,63330.3,0.02,63329.4,0.014,63330.8,0.002,63329.1,0.002,63331.0,0.209,63328.8,0.002,63331.5,0.253,63328.2,0.002,63331.6,0.063,63328.1,0.062,63331.7,0.236,63328.0,0.212,63332.0,0.172,63327.8,0.028,63332.1,0.675,63327.6,0.077,63332.2,0.01,63327.4,0.002,63332.6,0.063,63327.2,0.301,63333.2,0.063,63326.9,0.083,63333.9,0.253,63326.8,0.002,63334.0,0.162,63326.4,0.039,63334.2,0.063,63326.2,0.006,63334.8,0.063,63326.1,0.246,63335.1,0.012,63326.0,0.004,63335.2,0.391,63325.9,0.002,63335.6,0.002
